S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency
1,ARUNA,Indian National Congress,6724,58,6782,3.88,1
2,RAJ KARAN KHATRI,Bharatiya Janata Party,86463,752,87215,49.91,1
3,SHARAD KUMAR,Aam Aadmi Party,78395,224,78619,44.99,1
4,ANIL KUMAR SINGH,Communist Party of India  (Marxist-Leninist)  (Liberation),328,0,328,0.19,1
5,MD KHALID,Aazad Samaj Party (Kanshi Ram),278,0,278,0.16,1
6,BUDIYA,Independent,242,0,242,0.14,1
7,VIKAS BHARDWAJ,Independent,300,1,301,0.17,1
8,NOTA,None of the Above,973,8,981,0.56,1
1,GANGA RAM,Bahujan Samaj Party,2193,21,2214,0.87,2
2,MANGESH TYAGI,Indian National Congress,19808,112,19920,7.82,2
3,SANJEEV JHA,Aam Aadmi Party,120813,368,121181,47.57,2
4,ANIL KAPOOR,Janhit Dal,866,3,869,0.34,2
5,ABHISHEK KUMAR SINGH (MASTER JI),Rashtriya Janshakti Party (Secular),530,1,531,0.21,2
6,GULAB SINGHAL,Bhim Sena,318,0,318,0.12,2
7,DHURVA KUMAR,Right to Recall Party,224,0,224,0.09,2
8,PRAMOD,Sarvodaya Prabhat Party,315,0,315,0.12,2
9,MUKESH PRASAD,Bhartiya Janta Dal (Integrated),284,4,288,0.11,2
10,RATAN TYAGI,Nationalist Congress Party,3829,23,3852,1.51,2
11,VIJAY KUMAR JHA,Rachnatmak Jan Morcha,589,0,589,0.23,2
12,SHAILENDRA KUMAR,Janata Dal  (United),99943,637,100580,39.48,2
13,SUNIL KUMAR VYATHIT,Aam Aadmi Sangharsh Party (S),568,1,569,0.22,2
14,SONU KAUSHIK,Aapki Apni Party (Peoples),738,1,739,0.29,2
15,NOTA,None of the Above,2530,18,2548,1,2
1,LOKENDRA KALYAN SINGH,Indian National Congress,8313,48,8361,6.88,3
2,SURINDER PAL SINGH (BITTOO),Aam Aadmi Party,54602,171,54773,45.07,3
3,SURENDER PAL,Bahujan Samaj Party,976,9,985,0.81,3
4,SURYA PRAKASH KHATRI,Bharatiya Janata Party,55626,315,55941,46.03,3
5,TARUN KUMAR,Republican Sena,165,2,167,0.14,3
6,DEEPAK CHAWLA,Republican Party of India (Athawale),113,0,113,0.09,3
7,BIJENDER KUMAR,Jan Samuh Party,49,1,50,0.04,3
8,RAKESH RANJAN SHRIVASTAV,Janhit Dal,90,1,91,0.07,3
9,RAJKUMAR BHARTI,Peoples Party of India (Democratic),111,1,112,0.09,3
10,RAM RAJ SINGH,Rashtriya Janshakti Party (Secular),109,0,109,0.09,3
11,WASIM AKRAM,Indian National Socialistic Action Forces,69,0,69,0.06,3
12,SANGH PRIYA SIDDHARTHA,Bhim Sena,107,0,107,0.09,3
13,NOTA,None of the Above,658,5,663,0.55,3
1,ABDUL ZABBAR,Bahujan Samaj Party,343,1,344,0.34,4
2,MUKESH KUMAR GOEL,Aam Aadmi Party,40941,87,41028,40.84,4
3,RAJ KUMAR BHATIA,Bharatiya Janata Party,52260,250,52510,52.27,4
4,SHIVANK SINGAL,Indian National Congress,5442,18,5460,5.43,4
5,PRIYA,"Aam Janmat Party,",56,0,56,0.06,4
6,PREM CHAND,Rashtrawadi Janlok Party (Satya),41,0,41,0.04,4
7,MD: RAHMAT ALI,Navarang Congress Party,18,0,18,0.02,4
8,VISHAL SINGH,National Youth Party,27,0,27,0.03,4
9,SANJAY YADAV ADVOCATE,Peoples Party of India (Democratic),35,0,35,0.03,4
10,SANJEEV KUMAR RANA,Communist Party of India,133,0,133,0.13,4
11,AYUSH GUPTA,Independent,64,0,64,0.06,4
12,NEETU SINGH,Independent,111,0,111,0.11,4
13,RAM NIWAS,Independent,140,0,140,0.14,4
14,VIJAY KR. AGGARWAL,Independent,116,0,116,0.12,4
15,NOTA,None of the Above,374,3,377,0.38,4
1,AJESH YADAV,Aam Aadmi Party,45937,92,46029,30.51,5
2,AAHIR DEEPAK CHAUDHARYY,Bharatiya Janata Party,61011,181,61192,40.56,5
3,DEVENDER YADAV,Indian National Congress,40980,91,41071,27.22,5
4,RAVINDER KUMAR,Bahujan Samaj Party,723,2,725,0.48,5
5,GOPAL KUMAR SINHA,Bharatiya Sampuran Krantikari Party,76,0,76,0.05,5
