S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency
1,OM PARKASH GUJJAR,Aam Aadmi Party,854,4,858,0.59,1
2,CHARAN SINGH,Bahujan Samaj Party,1368,6,1374,0.94,1
3,PARDEEP CHAUDHARY,Indian National Congress,49544,185,49729,34.07,1
4,SHAKTI RANI SHARMA,Bharatiya Janata Party,60497,115,60612,41.53,1
5,AMIT SHARMA,Independent,582,0,582,0.4,1
6,GOPAL SUKHOMAJRI,Independent,31665,23,31688,21.71,1
7,VISHAL,Independent,377,0,377,0.26,1
8,NOTA,None of the Above,734,6,740,0.51,1
1,DR KSHITIJ CHOUDHARY,Indian National Lok Dal,1374,1,1375,0.98,2
2,CHANDER MOHAN,Indian National Congress,67253,144,67397,47.97,2
3,GIAN CHAND GUPTA,Bharatiya Janata Party,65277,123,65400,46.55,2
4,PREM GARG,Aam Aadmi Party,3329,3,3332,2.37,2
5,SUSHIL GARG,Jannayak Janta Party,1153,0,1153,0.82,2
6,KISHAN SINGH NEGI,Right to Recall Party,110,0,110,0.08,2
7,BHARAT BHUSHAN GURJAR,Bhartiya Veer Dal,58,0,58,0.04,2
8,NATASHA SOOD,Independent,233,2,235,0.17,2
9,M P SHARMA,Independent,305,0,305,0.22,2
10,SAROJ BALA,Independent,150,0,150,0.11,2
11,NOTA,None of the Above,984,3,987,0.7,2
1,GURPAL SINGH,Aam Aadmi Party,3244,17,3261,2.31,3
2,DR. PAWAN SAINI,Bharatiya Janata Party,46932,154,47086,33.33,3
3,SHALLEY CHAUDHARY,Indian National Congress,61865,315,62180,44.01,3
4,HARBILAS SINGH,Bahujan Samaj Party,27403,37,27440,19.42,3
5,SEEMA DEVI,Bhartiya Shakti Chetna Party,299,0,299,0.21,3
6,DHARAMPAL,Independent,297,0,297,0.21,3
7,NEETU,Independent,310,6,316,0.22,3
8,NOTA,None of the Above,408,2,410,0.29,3
1,ANIL VIJ,Bharatiya Janata Party,59686,172,59858,44.9,4
2,AVTAR SINGH,Jannayak Janta Party,808,1,809,0.61,4
3,ONKAR SINGH,Indian National Lok Dal,2857,6,2863,2.15,4
4,PARVINDER PAL PARI,Indian National Congress,14412,57,14469,10.85,4
5,RAJ KAUR GILL,Aam Aadmi Party,520,4,524,0.39,4
6,NAVEEN KUMAR,Yuga Thulasi Party,334,0,334,0.25,4
7,CHITRA SARWARA,Independent,52438,143,52581,39.44,4
8,JASWINDER GOLU,Independent,146,0,146,0.11,4
9,DHARMESH SOOD RINKU,Independent,764,0,764,0.57,4
10,NAVEEN BIDLA,Independent,234,0,234,0.18,4
11,SUNIL VERMA,Independent,100,0,100,0.08,4
12,NOTA,None of the Above,636,5,641,0.48,4
1,ASEEM GOEL NANEOLA,Bharatiya Janata Party,73204,140,73344,44.26,5
2,KETAN SHARMA,Aam Aadmi Party,1484,8,1492,0.9,5
3,NIRMAL SINGH MOHRA,Indian National Congress,84173,302,84475,50.98,5
4,MALKIT SINGH BHANOKHERI,Bahujan Samaj Party,1302,3,1305,0.79,5
5,PARUL NAGPAL UDAIPURIA,Aazad Samaj Party (Kanshi Ram),2420,3,2423,1.46,5
6,BHUPINDER,Independent,161,5,166,0.1,5
7,MAYUR NANDA,Independent,134,3,137,0.08,5
8,LALIT WALIA,Independent,97,0,97,0.06,5
9,SACHIN KUMAR,Independent,124,0,124,0.07,5
10,SATNAM SINGH,Independent,626,3,629,0.38,5
11,SUNIL DUTT,Independent,137,1,138,0.08,5
12,NOTA,None of the Above,1364,7,1371,0.83,5
1,GURTEJ SINGH,Aam Aadmi Party,1063,8,1071,0.67,6
2,POOJA,Indian National Congress,78705,384,79089,49.48,6
3,PRAKASH BHARTI,Indian National Lok Dal,8075,21,8096,5.07,6
4,DR RAVINDER DHEEN,Jannayak Janta Party,1556,10,1566,0.98,6
5,SANTOSH CHAUHAN SARWAN,Bharatiya Janata Party,66031,193,66224,41.43,6
6,PRITAM SINGH,Rashtrawadi Janlok Party (Satya),656,2,658,0.41,6
7,AJAIB SINGH SODHI,Independent,695,4,699,0.44,6
8,DALIP SINGH,Independent,1191,2,1193,0.75,6
9,HARKESH KUMAR,Independent,294,2,296,0.19,6
10,HAVELI RAM,Independent,465,0,465,0.29,6
11,NOTA,None of the Above,479,1,480,0.3,6
1,BALWANT SINGH,Bharatiya Janata Party,55608,227,55835,32.06,7
2,BRIJ PAL,Bahujan Samaj Party,53388,108,53496,30.72,7
3,RITA RANI,Aam Aadmi Party,933,5,938,0.54,7
4,RENU BALA,Indian National Congress,57248,286,57534,33.04,7
5,JAI PAL,Bhartiya Panchyat Party,329,6,335,0.19,7
6,JASBIR SINGH,Bhartiya Shakti Chetna Party,290,1,291,0.17,7
7,SOHIL,Aazad Samaj Party (Kanshi Ram),4459,8,4467,2.57,7
8,POOJA NAGRA,Independent,210,2,212,0.12,7
9,BETA MAMCHAND RATTU,Independent,437,0,437,0.25,7
10,NOTA,None of the Above,601,4,605,0.35,7
1,AKRAM KHAN,Indian National Congress,67094,309,67403,36.83,8
2,ADARSH PAL SINGH,Aam Aadmi Party,43702,111,43813,23.94,8
3,KANWAR PAL,Bharatiya Janata Party,60313,222,60535,33.07,8
4,DARSHAN LAL,Bahujan Samaj Party,6423,13,6436,3.52,8
5,ASHOK KUMAR,Aazad Samaj Party (Kanshi Ram),2683,1,2684,1.47,8
6,DR. NITESH CHOPRA (HONEY),Bhartiya Shakti Chetna Party,309,1,310,0.17,8
7,SONI,Indian Praja Congress,147,2,149,0.08,8
8,ADITYA KUMAR SHASTRI,Independent,166,0,166,0.09,8
9,GURDEV SINGH,Independent,113,1,114,0.06,8
10,YAJUVINDER SINGH,Independent,275,0,275,0.15,8
11,YOGESH SETHI (YOGI),Independent,398,0,398,0.22,8
12,NOTA,None of the Above,746,3,749,0.41,8
